Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income- Restricted,Income- Restricted Rental,Income- Restricted Ownership,Tenure,Public/ Private,Includes Elderly Units?,Section_8
AB&W Cooperative Building,Roxbury,02121,24,24,0,0,0,0,24,24,0,Rental,Private,,
Abbot Street/ Shawmut Ave,Roxbury,02119,16,16,0,0,0,0,16,16,0,Rental,Private,,
Academy Homes I,Roxbury,02119,202,202,0,52,52,0,150,150,0,Rental,Private,,
Academy Homes II,Roxbury,02119,236,236,0,0,0,0,236,236,0,Rental,Private,,Y
Adams Court Phase A,Mattapan,02126,50,50,0,0,0,0,50,50,0,Rental,Private,,
Adams Court Phase B,Mattapan,02126,45,45,0,0,0,0,45,45,0,Rental,Private,,
Adams Templeton Elderly Housing,Dorchester,02124,76,76,0,1,1,0,75,75,0,Rental - Elderly,Private,Y,Y
Dorchester Hsg Action,Dorchester,,10,0,10,0,0,0,10,0,10,Ownership,Private,,
Alexander-Magnolia,Roxbury,02125,40,40,0,2,2,0,38,38,0,Rental,Private,,
Alice H. Taylor (Mission Hill Ext.),Jamaica Plain,02120,363,363,0,0,0,0,363,363,0,Rental,Public,,
Allele Condominium,South Boston,02127,47,0,47,41,0,41,6,0,6,Ownership,Private,,
Alleyne CDFI,Dorchester,02121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Alpine Street Village,Hyde Park,02136,44,0,44,40,0,40,4,0,4,Rental,Private,,
Amiff Housing,Mattapan,02130,96,96,0,0,0,0,96,96,0,Rental,Private,,Y
Amory Foundry (Phase I),Roxbury,02130,23,0,23,18,,18,5,0,5,Ownership,Private,,
Amory Street (2-45),Roxbury,02119,215,215,0,0,0,0,215,215,0,Rental - Elderly,Public,Y,
Amory Terrace,Roxbury,02119,64,64,0,0,0,0,64,64,0,Rental,Private,,
Amy Lowell House,Central,02114,152,152,0,30,30,0,122,122,0,Rental,Private,,
Anderson Park,Back Bay/Beacon Hill,02114,64,64,0,0,0,0,64,64,0,Rental,Private,Y,Y
Andrade,Dorchester,02122,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Andrew Square Apts,South Boston,02127,9,9,0,0,0,0,9,9,0,Rental,Private,,
Angela Westover House,Jamaica Plain,02130,11,11,0,0,0,0,11,11,0,Rental - Elderly,Private,Y,Y
Annapolis (2-27),Dorchester,02125,56,56,0,0,0,0,56,56,0,Rental - Elderly,Public,Y,
Archdale (200-7),Roslindale,02131,285,285,0,0,0,0,285,285,0,Rental,Public,,
Archstone Boston Common,Central,02111,420,420,0,374,374,0,46,46,0,Rental,Private,,
Armory Condos,Charlestown,02129,42,0,42,36,0,36,6,0,6,Ownership,Private,,
Ashmont (2-28),Dorchester,02124,54,54,0,0,0,0,54,54,0,Rental - Elderly,Public,Y,
Ashmont TOD (Housing),Dorchester,02124,116,74,42,42,0,42,74,74,0,Rental,Private,,
Astoria Street Condos (Elizabeth Street),Mattapan,02126,3,0,3,0,0,0,3,0,3,Ownership,Private,,
Atlantic Wharf,Central,02210,86,86,0,81,81,0,5,5,0,Rental,Private,,
Atrium Lofts,East Boston,02128,218,0,218,186,0,186,32,0,32,Ownership,Private,,
Audubon Apts,Mattapan,02126,37,37,0,5,5,0,32,32,0,Rental,Private,,
Ausonia (2-61),Central,02109,100,100,0,0,0,0,100,100,0,Rental - Elderly,Public,Y,
Ausonia Homes,Central,02109,100,100,0,0,0,0,100,100,0,Rental - Elderly,Private,Y,
